曲名,歌手名,ユーザー,スコア,日付
恋,back number,まつりく,90.035,2024/07/24 13:21:13
恋,星野 源,まつりく,90.657,2024/07/24 13:32:09
Crazy Crazy,星野 源,まつりく,91.361,2024/07/24 13:45:17
SISTER,back number,まつりく,83.827,2024/07/24 13:52:29
僕は君の事が好きだけど君は僕を別に好きじゃないみたい,back number,まつりく,79.090,2024/07/24 14:03:13
地獄でなぜ悪い,星野 源,まつりく,88.784,2024/07/24 16:28:35
正解,RADWIMPS,まつりく,89.477,2024/07/24 16:37:26
そっけない(生音),RADWIMPS,まつりく,84.895,2024/07/24 16:49:02
魔法の絨毯,川崎鷹也,まつりく,87.760,2024/07/24 17:00:56
ラストバージン,RADWIMPS,まつりく,85.278,2024/07/24 17:12:02
セプテンバーさん,RADWIMPS,まつりく,87.363,2024/07/24 17:17:40
me me she,RADWIMPS,まつりく,83.464,2024/07/24 17:27:40
SUN,星野 源,まつりく,86.278,2024/07/24 17:32:56
Family Song,星野 源,まつりく,86.119,2024/07/24 17:41:57
前前前世 (movie ver.),RADWIMPS,まつりく,88.555,2024/07/24 17:51:05
君と羊と青,RADWIMPS,まつりく,86.714,2024/07/24 17:56:15
夢灯籠,RADWIMPS,まつりく,73.275,2024/07/24 18:09:10
05410-(ん),RADWIMPS,まつりく,82.646,2024/07/24 18:11:42
愛唄,GReeeeN,まつりく,80.681,2024/07/24 18:17:41
道,GReeeeN,まつりく,86.883,2024/07/24 18:25:14
会心の一撃,RADWIMPS,まつりく,83.476,2024/07/24 18:29:40
サイハテアイニ,RADWIMPS,まつりく,80.728,2024/07/24 18:38:19
蕾,コブクロ,まつりく,80.229,2024/07/24 18:47:36
サウダージ,ポルノグラフィティ,まつりく,86.577,2024/07/24 18:51:38
チェリー,スピッツ,まつりく,89.755,2024/07/24 19:00:52
手紙,back number,まつりく,85.169,2024/07/24 19:07:15
黄色,back number,まつりく,85.087,2024/07/24 19:13:05
眠り姫,SEKAI NO OWARI(世界の終わり),まつりく,88.651,2024/07/24 19:52:34
くだらないの中に,星野 源,まつりく,90.186,2024/08/01 15:23:51
Crazy Crazy,星野 源,まつりく,91.656,2024/08/01 15:29:47
地獄でなぜ悪い,星野 源,まつりく,85.542,2024/08/01 15:33:40
Friend Ship,星野 源,まつりく,90.706,2024/08/01 15:50:25
眠り姫,SEKAI NO OWARI(世界の終わり),まつりく,90.690,2024/08/01 16:06:36
正解,RADWIMPS,まつりく,90.241,2024/08/01 16:15:34
わたがし,back number,まつりく,88.580,2024/08/01 16:26:54
黄色,back number,まつりく,88.391,2024/08/01 16:37:13
ハッピーエンド,back number,まつりく,88.919,2024/08/01 16:46:53
エメラルド,back number,まつりく,87.830,2024/08/01 16:59:22
SISTER,back number,まつりく,81.489,2024/08/01 17:07:29
堕天,Creepy Nuts,まつりく,83.433,2024/08/01 17:17:34
Myra,Tani Yuuki,まつりく,83.120,2024/08/01 17:27:41
snow jam,Rin音,まつりく,68.956,2024/08/01 17:32:15
かつて天才だった俺たちへ,Creepy Nuts,まつりく,83.863,2024/08/01 17:37:22
のびしろ,Creepy Nuts,まつりく,77.636,2024/08/01 17:50:06
桜,コブクロ,まつりく,90.519,2024/08/01 17:59:03
虹,菅田将暉,まつりく,86.859,2024/08/01 18:09:05
レオ,優里,まつりく,84.714,2024/08/01 18:19:40
くだらないの中に,星野 源,まつりく,90.371,2024/08/06 21:11:24
恋,星野 源,まつりく,89.253,2024/08/06 21:24:53
恋,back number,まつりく,88.193,2024/08/06 21:38:02
フライデー・ナイト,なとり,まつりく,83.154,2024/08/06 21:51:14
虹,菅田将暉,まつりく,88.880,2024/08/06 22:04:20
地獄でなぜ悪い,星野 源,まつりく,85.822,2024/08/07 12:40:55
Crazy Crazy,星野 源,まつりく,86.206,2024/08/07 12:51:31
くだらないの中に,星野 源,まつりく,87.949,2024/08/07 13:00:37
Overdose,なとり,まつりく,84.186,2024/08/07 13:16:44
フライデー・ナイト,なとり,まつりく,81.715,2024/08/07 13:24:41
ブルーベリー・ナイツ,マカロニえんぴつ,まつりく,84.653,2024/08/07 13:47:06
チェリー,スピッツ,まつりく,89.918,2024/08/12 14:37:06
Crazy Crazy,星野 源,まつりく,91.647,2024/08/12 15:04:32
Friend Ship,星野 源,まつりく,91.897,2024/08/12 15:12:56
新しい恋人達に,back number,まつりく,84.628,2024/08/12 15:30:02
05410-(ん),RADWIMPS,まつりく,86.497,2024/08/12 15:39:17
瞬き,back number,まつりく,90.416,2024/08/12 15:48:43
インフェルノ,Mrs. GREEN APPLE,まつりく,81.768,2024/08/12 16:03:10
ひまわりの約束(ドラえもんアニメバージョン),秦 基博,まつりく,87.229,2024/08/12 16:30:15
黄色,back number,まつりく,89.256,2024/08/12 17:19:05
恋,星野 源,まつりく,89.330,2024/08/15 23:49:14
恋,back number,まつりく,87.445,2024/08/16 00:14:18
青と夏,Mrs. GREEN APPLE,まつりく,84.416,2024/08/16 01:13:31
恋,星野 源,まつりく,93.069,2024/08/21 18:53:43
恋だろ,wacci,まつりく,93.804,2024/08/21 19:05:02
シングルベッド,シャ乱Q,まつりく,94.990,2024/08/21 19:16:24
チェリー,スピッツ,まつりく,92.492,2024/08/21 19:28:51
桜,コブクロ,まつりく,91.974,2024/08/21 19:40:50
アイラブユー,back number,まつりく,90.883,2024/08/21 19:52:58
全力少年,スキマスイッチ,まつりく,85.503,2024/08/21 20:04:35
花束,back number,まつりく,88.008,2024/08/21 20:21:22
地獄でなぜ悪い,星野 源,まつりく,88.529,2024/08/22 05:12:37
恋だろ,wacci,まつりく,90.644,2024/09/13 15:05:04
黄色,back number,まつりく,90.196,2024/09/13 15:14:57
恋,back number,まつりく,93.219,2024/09/13 15:25:55
感情,wacci,まつりく,93.800,2024/09/13 15:34:29
